week,dow,date,prepare,topic,materials,due,Notes
1,M,30-Mar,complete [welcome survey](https://forms.gle/Y7ZHuwcEaZi9krzD7),"Welcome + data, R review","[slides01](/slides/01/slides01.html) <br>
[01-example-unvotes](/activities/01-un-votes.html)",,
1,W,1-Apr," [R basics](/notes/01-r-basics.html) <br>
 [R4DS 28.1-28.5](https://r4ds.hadley.nz/quarto.html) <br>
[git and GitHub for poets](https://www.youtube.com/watch?v=BCQHnlnPusY) <br>
 Read syllabus and pass [syllabus quiz](https://www.gradescope.com/courses/1206584) to activate tokens",Github + reproducible reports,"[slides02](/slides/02/slides02.html) <br> 
[02-example-lego](/activities/02-lego-report.html) <br>
[Lego report to replicate](/files/02-lego-report.html)",,
1,F,3-Apr," [10 minute activity on markdown](https://commonmark.org/help/tutorial/) <br>
 [R4DS Ch1](https://r4ds.hadley.nz/data-visualize.html) <br>
📺 [intro to ggplot](https://www.youtube.com/watch?v=cqcQT44mJTM) 
",ggplot ,"[slides03](/slides/03/slides03.html) <br> 
 [03-ggplot-intro](/activities/03-ggplot-intro.html) ",[HW 1](),LINK TO GITHUB SITE WITH HW POSTED HERE inside () under due
2,M,6-Apr, [DataViz 17-21](https://clauswilke.com/dataviz/proportional-ink.html) <br>,Theming + Design,"[slides04](/slides/04/slides04.html) <br>
[04-customizing-plots](/activities/04-customizing-plots.html) ",,Include discrete vs continuous color scales
2,W,8-Apr, [DataViz 15](https://clauswilke.com/dataviz/geospatial-data.html) <br>,Maps/spatial data,"[slides05](/slides/05/slides05.html) <br>
[05-maps](/activities/05-maps.html) ",[HW 2](),Need to talk about color palettes *before* this class
2,F,10-Apr,"first 15 minutes of [Accessible Data Science Beyond Visual Models](https://www.youtube.com/watch?v=0HvyNtltu-A) <br>
 Skim [Writing Alt Text to Communicate the Meaning in Data Visualizations](https://www.urban.org/sites/default/files/2022-12/Do%20No%20Harm%20Guide%20Centering%20Accessibility%20in%20Data%20Visualization.pdf#page=31&zoom=100,0,0)",Accesibility for data viz,[slides06](/slides/06/slides06.html),,
3,M,13-Apr, [R4DS 3.1-3.4](https://r4ds.hadley.nz/data-transform.html) <br>,Verbs,"[slides07](/slides/07/slides07.html) <br>
[07-verbs](/activities/07-dplyr1.html)",,
3,W,15-Apr," [R4DS 3.5](https://r4ds.hadley.nz/data-transform.html#groups) <br>
 [R4DS 5.1-5.4](https://r4ds.hadley.nz/data-tidy) <br>","Groups and summarizing
Tidy data","[slides08](/slides/08/slides08.html)  <br>
[08-dplyr2](/activities/08-dplyr2.html)",[HW 3](),
3,F,17-Apr,"
 [R4DS 4](https://r4ds.hadley.nz/workflow-style) <br>",Code style,"[slides09](/slides/09/slides09.html)  <br>
[09-tidyr](/activities/09-tidyr.html)",,
4,M,20-Apr, [R4DS 19.1-19.3](https://r4ds.hadley.nz/joins.html) ,Combining datasets,"[slides10](/slides/10/slides10.html)  <br>
[10-combining](/activities/10-combining.html)",,
4,W,22-Apr," [R4DS 7.1-7.4](https://r4ds.hadley.nz/data-import) <br>
 [R4DS 17.1-17.3](https://r4ds.hadley.nz/datetimes.html) <br>",Import data and dates/times,"[slides11](/slides/11/slides11.html)  <br>
[11-import](/activities/11-import.html)",[HW 4]() ,
4,F,24-Apr,NO CLASS,NO CLASS,NO CLASS,,
5,M,27-Apr, [R4DS 16](https://r4ds.hadley.nz/factors) <br>,Working with factors,"[slides12](/slides/12/slides12.html)  <br>
[12-factors](/activities/12-factors.html)",[Portfolio 1](/portfolio/portfolio-1.html),
5,W,29-Apr," [R4DS 14](https://r4ds.hadley.nz/strings) <br>
 [R4DS 15.1-15.5](https://r4ds.hadley.nz/regexps) ",Working with strings and Regex,"[slides13](/slides/13/slides13.html)  <br>
[13-strings-regex](/activities/13-strings-regex.html)",,
5,F,1-May," [MDSR 19.2](https://mdsr-book.github.io/mdsr3e/19-text.html#extended-example-analyzing-textual-data-from-arxiv.org) <br>
🌎 [Google ngram viewer](https://books.google.com/ngrams/)",Intro to Text Analysis,"[slides14](/slides/14/slides14.html)  <br>
[14-text-case-study](/activities/14-text-case-study.html)",[HW 5](),
6,M,4-May,,Midterm Break; no class,,,
6,W,6-May, [The Trouble with Sentiment Analysis](https://makingnoiseandhearingthings.com/2022/04/19/the-trouble-with-sentiment-analysis/),Text Analysis,"[slides15](/slides/15/slides15.html)  <br>
[15-sentiment](/activities/15-sentiment.html)",,
6,F,8-May, [R4DS 25](https://r4ds.hadley.nz/functions) ,Functions,"[slides16](/slides/16/slides16.html)  <br>
[16-functions](/activities/16-functions.html)",[Portfolio 2](/portfolio/portfolio-2.html)<br>,No changes - timing was right 
7,M,11-May, [MDSR 7.1-7.3](https://mdsr-book.github.io/mdsr3e/07-iteration.html),Iteration,"[slides17](/slides/17/slides17.html)  <br>
[17-iteration](/activities/17-iteration.html)",[HW6](),Got through across() but not to map(). add extra day of iteration and push everything back
7,W,13-May,,Iteration II ,"[slides18](/slides/18/slides18.html)  <br>
[18-iteration-2](/activities/18-iteration-2.html)",,Got through survivor example. Cut out 1-2 your turns to try to leave 10-15 minutes for the permutation test example
7,F,15-May,,APIs,,[HW7](),
8,M,18-May,,Scraping I,,[Final Project Idea Form](),
8,W,20-May," [R4DS 24.2;24.5](https://r4ds.hadley.nz/webscraping.html#scraping-ethics-and-legalities) <br> 
 [install and test selectorGadget](https://rvest.tidyverse.org/articles/selectorgadget.html) ",Scraping II,"[slides21](/slides/21/slides21.html)  <br>
[21-scraping](/activities/21-scraping.html)",[Final Project Ranking Form](),
8,F,22-May,"Explore [htmlWidgets gallery + source code](https://testing-apps.shinyapps.io/flexdashboard-storyboard/) <br>
Explore [NZ Earthquakes](https://pub.demo.posit.team/public/nz-quakes/quakes.html) and [source code](https://github.com/cwickham/quakes/blob/main/quakes.qmd)",Intro to Interactivity,"[slides22](/slides/22/slides22.html)  <br>
[22-interactivity](/activities/22-interactivity.html)",[HW8]() <br> [Portfolio 3](),worked well! 
9,M,25-May,"Pick one: <br>
📺 [Shiny basics playlist](https://carleton.hosted.panopto.com/Panopto/Pages/Viewer.aspx?pid=637ed93b-d906-4ed7-86d0-afac0023b3d7) <br>
[Ch 1-2 of Mastering Shiny](https://mastering-shiny.org/basic-app.html)",Shiny 1,"[slides23](/slides/23/slides23.html)  <br>
[23-shiny](/activities/23-shiny1.html)",,Got through first 2 apps -- simplify the first one. Maybe separate days into (1) build UI and (2) server functions???
9,W,27-May,"Pick one: <br>
📺 [Reactivity in shiny playlist](https://carleton.hosted.panopto.com/Panopto/Pages/Viewer.aspx?pid=0361538c-7dee-42e1-aeb8-add3002157a8) <br>
[Ch 3 of Mastering Shiny](https://mastering-shiny.org/)",Shiny 2,"[slides24](/slides/24/slides24.html)  <br>
[24-shiny2](/activities/24-shiny2.html)",Final Project sketch,
9,F,29-May,,Shiny 3,"[slides25](/slides/25/slides25.html)  <br>
[25-shiny-design](/activities/25-shiny-design.html)",,shortened due to snow day. server was super slow. 
10,M,1-Jun,,Project Demos,"[slides27](/slides/27/slides27.html)  <br>
",,
10,W,3-Jun,,Project Demos,,[HW9](),
,,8-Jun,,Final Project Due @ noon,,[Final Project](),
