character,year,caught,cumulative_caught
Daphne,1969,0,0
Daphne,1970,0,0
Daphne,1972,0,0
Daphne,1973,0,0
Daphne,1976,1,1
Daphne,1977,0,1
Daphne,1978,0,1
Daphne,1979,1,2
Daphne,1980,0,2
Daphne,1983,2,4
Daphne,1984,0,4
Daphne,1985,0,4
Daphne,1988,1,5
Daphne,1989,0,5
Daphne,1990,0,5
Daphne,1991,0,5
Daphne,1997,0,5
Daphne,1998,0,5
Daphne,1999,1,6
Daphne,2000,0,6
Daphne,2001,0,6
Daphne,2002,2,8
Daphne,2003,2,10
Daphne,2004,2,12
Daphne,2005,1,13
Daphne,2006,0,13
Daphne,2007,0,13
Daphne,2008,0,13
Daphne,2009,0,13
Daphne,2010,0,13
Daphne,2011,0,13
Daphne,2012,1,14
Daphne,2013,1,15
Daphne,2014,0,15
Daphne,2015,4,19
Daphne,2016,2,21
Daphne,2017,3,24
Daphne,2018,1,25
Daphne,2019,2,27
Daphne,2020,2,29
Daphne,2021,0,29
Fred,1969,5,5
Fred,1970,3,8
Fred,1972,6,14
Fred,1973,1,15
Fred,1976,6,21
Fred,1977,2,23
Fred,1978,3,26
Fred,1979,3,29
Fred,1980,0,29
Fred,1984,1,30
Fred,1988,2,32
Fred,1989,0,32
Fred,1990,0,32
Fred,1991,0,32
Fred,1997,0,32
Fred,1998,0,32
Fred,1999,1,33
Fred,2000,1,34
Fred,2001,0,34
Fred,2002,3,37
Fred,2003,5,42
Fred,2004,3,45
Fred,2005,5,50
Fred,2006,0,50
Fred,2007,0,50
Fred,2008,0,50
Fred,2009,0,50
Fred,2010,9,59
Fred,2011,11,70
Fred,2012,9,79
Fred,2013,11,90
Fred,2014,1,91
Fred,2015,10,101
Fred,2016,2,103
Fred,2017,11,114
Fred,2018,2,116
Fred,2019,5,121
Fred,2020,11,132
Fred,2021,0,132
Scooby,1969,7,7
Scooby,1970,6,13
Scooby,1972,5,18
Scooby,1973,3,21
Scooby,1976,8,29
Scooby,1977,1,30
Scooby,1978,11,41
Scooby,1979,7,48
Scooby,1980,1,49
Scooby,1981,0,49
Scooby,1982,7,56
Scooby,1983,12,68
Scooby,1984,10,78
Scooby,1985,4,82
Scooby,1987,0,82
Scooby,1988,8,90
Scooby,1989,7,97
Scooby,1990,4,101
Scooby,1991,4,105
Scooby,1994,0,105
Scooby,1997,0,105
Scooby,1998,0,105
Scooby,1999,0,105
Scooby,2000,1,106
Scooby,2001,1,107
Scooby,2002,3,110
Scooby,2003,5,115
Scooby,2004,4,119
Scooby,2005,3,122
Scooby,2006,1,123
Scooby,2007,1,124
Scooby,2008,1,125
Scooby,2009,2,127
Scooby,2010,5,132
Scooby,2011,2,134
Scooby,2012,3,137
Scooby,2013,5,142
Scooby,2014,2,144
Scooby,2015,3,147
Scooby,2016,1,148
Scooby,2017,4,152
Scooby,2018,2,154
Scooby,2019,3,157
Scooby,2020,2,159
Scooby,2021,1,160
Shaggy,1969,5,5
Shaggy,1970,5,10
Shaggy,1972,4,14
Shaggy,1973,2,16
Shaggy,1976,5,21
Shaggy,1977,4,25
Shaggy,1978,1,26
Shaggy,1979,4,30
Shaggy,1980,1,31
Shaggy,1981,0,31
Shaggy,1982,6,37
Shaggy,1983,2,39
Shaggy,1984,2,41
Shaggy,1985,0,41
Shaggy,1987,0,41
Shaggy,1988,2,43
Shaggy,1989,1,44
Shaggy,1990,0,44
Shaggy,1991,2,46
Shaggy,1994,0,46
Shaggy,1997,0,46
Shaggy,1998,0,46
Shaggy,1999,0,46
Shaggy,2000,0,46
Shaggy,2001,0,46
Shaggy,2002,0,46
Shaggy,2003,5,51
Shaggy,2004,1,52
Shaggy,2005,4,56
Shaggy,2006,1,57
Shaggy,2007,0,57
Shaggy,2008,0,57
Shaggy,2009,1,58
Shaggy,2010,1,59
Shaggy,2011,0,59
Shaggy,2012,2,61
Shaggy,2013,4,65
Shaggy,2014,0,65
Shaggy,2015,3,68
Shaggy,2016,1,69
Shaggy,2017,2,71
Shaggy,2018,3,74
Shaggy,2019,2,76
Shaggy,2020,1,77
Shaggy,2021,0,77
Velma,1969,0,0
Velma,1970,0,0
Velma,1972,0,0
Velma,1973,0,0
Velma,1976,1,1
Velma,1977,0,1
Velma,1978,0,1
Velma,1979,2,3
Velma,1980,0,3
Velma,1984,0,3
Velma,1988,4,7
Velma,1989,1,8
Velma,1990,0,8
Velma,1991,0,8
Velma,1997,0,8
Velma,1998,0,8
Velma,1999,0,8
Velma,2000,0,8
Velma,2001,0,8
Velma,2002,4,12
Velma,2003,3,15
Velma,2004,2,17
Velma,2005,3,20
Velma,2006,0,20
Velma,2007,0,20
Velma,2008,0,20
Velma,2009,0,20
Velma,2010,0,20
Velma,2011,0,20
Velma,2012,2,22
Velma,2013,1,23
Velma,2014,0,23
Velma,2015,5,28
Velma,2016,1,29
Velma,2017,6,35
Velma,2018,1,36
Velma,2019,1,37
Velma,2020,4,41
Velma,2021,0,41
